2026-04-12 01:03:47,784 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:48,187 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:48,600 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:49,015 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:49,417 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:49,820 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:50,283 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:50,697 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:51,101 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:51,464 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:51,870 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:52,280 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:52,683 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:53,095 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:53,501 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:53,911 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:54,317 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:54,678 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:03:55,086 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
